Device ID,Customer,Email,Last Connection,Last IP Address,Firmware Version,Locked Firmware Version,Device Name,Quarantined,Denied
4d004f000a51343334363138,,,Sat Dec 03 2016 19:20:57 GMT+0000 (UTC),176.83.136.24:50429,4,4,Unit-08-David,false,false
4d003c000a51343334363138,,,Sun Nov 27 2016 18:58:41 GMT+0000 (UTC),176.83.138.84:19630,4,4,Unit-07-David,false,false
47004a001951343334363036,,,Tue Nov 08 2016 19:14:17 GMT+0000 (UTC),176.83.136.254:8139,4,4,Unit-09-David,false,false
350041000a51343334363138,,,Tue Dec 06 2016 20:44:01 GMT+0000 (UTC),176.83.138.98:20793,7,7,Unit-03-Geary,false,false
2f004a000e51353433323633,,,Mon Jan 09 2017 15:31:29 GMT+0000 (UTC),176.83.136.102:34398,7,,Unit-02a-Tom,false,false
2c001d000951343334363138,,,Mon Dec 26 2016 16:16:27 GMT+0000 (UTC),176.83.210.162:16400,7,7,Unit-10-Lee,false,false
260020000c51343334363138,,,Thu Dec 15 2016 23:26:16 GMT+0000 (UTC),176.83.209.199:13552,7,7,Unit-05-Pat,false,false
210022000c51343334363138,,,Wed Dec 21 2016 18:48:55 GMT+0000 (UTC),176.83.136.220:11593,4,7,Unit-06-Pat,false,false
